               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.046391,            0.019403,           0.0030612,              0.5805,             0.75499,             0.69909,             0.37323,            0.050735,           0.0077332,            0.002222,           0.0093268,           0.0093268,           0.0093268
                  36,            0.048695,            0.018183,           0.0025693,             0.84747,             0.88331,              0.9043,              0.4953,            0.044991,           0.0078597,           0.0021719,            0.009307,            0.009307,            0.009307
                  37,            0.047093,            0.017111,           0.0025034,             0.85661,             0.80755,             0.90159,             0.43304,            0.044504,           0.0078221,           0.0021082,           0.0092872,           0.0092872,           0.0092872
                  38,            0.046548,            0.019944,           0.0031449,             0.69543,             0.85947,              0.7757,             0.45628,            0.043331,           0.0072889,           0.0021301,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045413,            0.017884,           0.0030237,             0.79204,             0.85467,              0.8466,              0.5156,             0.04007,           0.0074212,           0.0024748,           0.0092476,           0.0092476,           0.0092476
                  40,            0.044626,             0.01871,           0.0036136,              0.7042,             0.81581,             0.84118,             0.42666,            0.044358,           0.0072177,           0.0026295,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047673,            0.016079,           0.0030871,              0.8722,             0.85351,             0.91807,             0.51696,            0.041172,           0.0073032,           0.0031968,            0.009208,            0.009208,            0.009208
                  42,            0.042754,            0.017755,           0.0031883,             0.84152,             0.85496,             0.92078,             0.54136,            0.037871,           0.0070124,           0.0033974,           0.0091882,           0.0091882,           0.0091882
                  43,            0.042915,            0.018328,           0.0023421,             0.84709,             0.89366,             0.93887,             0.48531,            0.041283,           0.0068802,           0.0029017,           0.0091684,           0.0091684,           0.0091684
                  44,            0.043879,            0.015645,           0.0026492,             0.93038,              0.9245,             0.96722,             0.58506,            0.034746,           0.0067107,           0.0026403,           0.0091486,           0.0091486,           0.0091486
                  45,            0.041441,             0.01672,           0.0027148,             0.90541,             0.86782,             0.94029,             0.58208,            0.047533,           0.0065966,           0.0023077,           0.0091288,           0.0091288,           0.0091288
                  46,            0.042527,            0.015379,           0.0026712,             0.69425,             0.86354,             0.84038,             0.50854,            0.046564,           0.0065279,           0.0020773,            0.009109,            0.009109,            0.009109
                  47,            0.041766,            0.016294,           0.0023547,             0.80272,             0.91157,             0.91182,             0.61328,            0.035359,           0.0070961,           0.0017634,           0.0090892,           0.0090892,           0.0090892
                  48,            0.042139,            0.017634,           0.0025147,             0.89225,             0.90147,             0.94995,             0.59408,            0.035226,           0.0068057,           0.0017405,           0.0090694,           0.0090694,           0.0090694
                  49,            0.040786,            0.017916,           0.0032857,             0.75751,             0.88991,             0.92147,             0.60888,            0.037861,           0.0068413,           0.0018028,           0.0090496,           0.0090496,           0.0090496
                  50,            0.043087,            0.018553,           0.0023071,             0.85639,             0.95436,             0.95395,             0.57703,            0.037027,           0.0069871,           0.0018474,           0.0090298,           0.0090298,           0.0090298
                  51,            0.038058,            0.016892,            0.002049,             0.79093,             0.86752,             0.88696,             0.54393,            0.046641,           0.0071617,           0.0017873,             0.00901,             0.00901,             0.00901
                  52,            0.041388,            0.016388,           0.0024614,             0.83549,             0.92433,             0.92584,             0.54376,            0.037143,           0.0069977,           0.0018256,           0.0089902,           0.0089902,           0.0089902
                  53,            0.041627,            0.017071,           0.0032406,             0.74225,             0.88383,             0.86215,              0.4878,            0.041672,           0.0066949,           0.0018741,           0.0089704,           0.0089704,           0.0089704
                  54,            0.037797,            0.016941,           0.0032126,             0.96078,             0.84707,             0.94916,             0.58488,            0.039577,           0.0068683,           0.0016974,           0.0089506,           0.0089506,           0.0089506
                  55,            0.040679,            0.016906,            0.002834,             0.82635,             0.88818,             0.92439,             0.55845,            0.033837,           0.0067569,           0.0017794,           0.0089308,           0.0089308,           0.0089308
                  56,            0.039035,            0.017056,           0.0023082,             0.89549,             0.86135,             0.92527,             0.51109,            0.037261,            0.006837,           0.0019055,            0.008911,            0.008911,            0.008911
                  57,            0.040192,            0.018056,            0.002154,             0.82271,              0.9067,             0.91556,             0.61318,            0.035747,           0.0062415,           0.0017636,           0.0088912,           0.0088912,           0.0088912
                  58,            0.038885,            0.015727,           0.0026251,             0.90938,             0.94122,             0.94908,             0.53449,             0.03515,           0.0062666,           0.0017902,           0.0088714,           0.0088714,           0.0088714
                  59,            0.037677,            0.016078,           0.0022748,             0.91197,             0.93431,             0.94668,             0.61325,            0.037538,           0.0063533,           0.0017468,           0.0088516,           0.0088516,           0.0088516
                  60,            0.037166,            0.013895,           0.0025494,             0.91152,             0.90598,             0.94429,             0.57285,            0.043809,           0.0062799,           0.0016967,           0.0088318,           0.0088318,           0.0088318
                  61,            0.039755,            0.017035,           0.0028362,             0.95604,              0.9245,             0.95731,             0.57612,            0.036862,           0.0064499,           0.0018459,            0.008812,            0.008812,            0.008812
                  62,            0.039371,            0.015494,           0.0023775,             0.90498,              0.9404,             0.95658,             0.56922,            0.035975,           0.0062041,           0.0017765,           0.0087922,           0.0087922,           0.0087922
                  63,            0.036045,            0.016402,           0.0024326,             0.91566,             0.94373,             0.96485,             0.54923,            0.037611,            0.006249,           0.0019138,           0.0087724,           0.0087724,           0.0087724
                  64,               0.038,            0.014291,           0.0021054,              0.9189,             0.93789,             0.92512,             0.59683,            0.037936,             0.00624,           0.0019653,           0.0087526,           0.0087526,           0.0087526
                  65,            0.035649,            0.014288,           0.0020897,             0.97961,             0.93901,             0.96113,             0.58092,            0.043466,           0.0060777,           0.0019687,           0.0087328,           0.0087328,           0.0087328
                  66,            0.037757,            0.016831,           0.0031236,             0.97286,             0.94897,             0.96024,             0.57239,            0.037369,           0.0062869,           0.0019224,            0.008713,            0.008713,            0.008713
                  67,            0.036431,            0.015837,           0.0020603,             0.97046,             0.96296,             0.96153,              0.6087,            0.033722,           0.0062844,           0.0019336,           0.0086932,           0.0086932,           0.0086932
                  68,            0.037449,            0.015414,           0.0022595,             0.87836,             0.92593,             0.94832,             0.54756,            0.038242,           0.0063137,           0.0019239,           0.0086734,           0.0086734,           0.0086734
                  69,            0.038095,            0.015951,           0.0022462,             0.92627,              0.9492,             0.95617,             0.62195,             0.03191,           0.0062748,           0.0020118,           0.0086536,           0.0086536,           0.0086536
                  70,            0.040992,            0.017277,           0.0029487,               0.951,             0.88675,             0.95287,             0.54809,            0.036495,           0.0067207,           0.0021192,           0.0086338,           0.0086338,           0.0086338
                  71,            0.037687,            0.016052,           0.0028206,             0.88121,             0.94444,             0.95164,             0.62111,            0.035335,           0.0063341,           0.0021221,            0.008614,            0.008614,            0.008614
                  72,             0.03682,            0.015563,            0.002213,             0.97041,             0.91505,              0.9621,             0.59644,            0.035141,           0.0065741,           0.0022582,           0.0085942,           0.0085942,           0.0085942
                  73,            0.033422,            0.014552,           0.0023125,             0.89255,             0.96296,             0.96118,              0.6353,            0.033749,           0.0064934,           0.0022729,           0.0085744,           0.0085744,           0.0085744
                  74,            0.035449,            0.016984,           0.0020082,             0.91337,             0.93144,             0.96011,             0.67812,            0.034028,           0.0065214,           0.0020862,           0.0085546,           0.0085546,           0.0085546
                  75,            0.036987,            0.016595,           0.0024399,             0.93492,             0.84972,             0.92903,             0.60962,             0.03623,           0.0072309,           0.0022014,           0.0085348,           0.0085348,           0.0085348
                  76,            0.033716,            0.015165,           0.0020176,             0.91572,             0.92082,             0.95838,             0.62303,            0.038215,           0.0067294,           0.0020143,            0.008515,            0.008515,            0.008515
                  77,            0.035085,            0.014469,           0.0023412,             0.97204,               0.849,             0.95132,             0.57746,            0.034561,           0.0066663,           0.0019115,           0.0084952,           0.0084952,           0.0084952
                  78,            0.036483,            0.015009,            0.001818,             0.90171,              0.8606,             0.94268,             0.57522,            0.041021,           0.0065233,           0.0016546,           0.0084754,           0.0084754,           0.0084754
                  79,            0.035611,             0.01428,           0.0019812,             0.95199,             0.83092,             0.93877,             0.58595,            0.037503,           0.0061332,           0.0017642,           0.0084556,           0.0084556,           0.0084556
                  80,            0.035627,            0.014808,           0.0017374,             0.94428,             0.95539,             0.96473,             0.62204,            0.033474,           0.0062817,           0.0018717,           0.0084358,           0.0084358,           0.0084358
                  81,            0.038865,            0.015566,           0.0020197,              0.9512,             0.91503,             0.94965,             0.53862,            0.037426,           0.0062287,           0.0021032,            0.008416,            0.008416,            0.008416
                  82,            0.035847,            0.017099,           0.0027168,             0.94304,             0.93087,             0.95995,             0.62303,             0.03439,           0.0062432,           0.0020655,           0.0083962,           0.0083962,           0.0083962
                  83,            0.036618,            0.016034,           0.0024725,             0.92717,             0.94784,              0.9611,             0.64886,              0.0371,            0.006133,             0.00206,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03879,            0.014817,           0.0021382,             0.93849,             0.95887,             0.96604,             0.62426,            0.032932,           0.0059667,           0.0021826,           0.0083566,           0.0083566,           0.0083566
                  85,            0.034852,            0.014109,           0.0018681,             0.95258,               0.942,             0.96411,             0.63801,             0.03256,            0.006043,           0.0020831,           0.0083368,           0.0083368,           0.0083368
                  86,            0.034512,            0.015848,           0.0020821,             0.94796,              0.9067,             0.95134,             0.60828,            0.036846,           0.0061213,           0.0019537,            0.008317,            0.008317,            0.008317
                  87,            0.033176,            0.016243,           0.0017751,             0.96942,             0.90171,             0.95118,             0.60278,            0.032526,           0.0060441,           0.0017726,           0.0082972,           0.0082972,           0.0082972
                  88,            0.036077,            0.014688,            0.002728,             0.96965,             0.90268,             0.94934,             0.61599,            0.034482,           0.0060253,           0.0018573,           0.0082774,           0.0082774,           0.0082774
                  89,            0.035229,            0.014046,           0.0015811,             0.88967,             0.87705,             0.90607,             0.56024,            0.034894,           0.0061787,           0.0018616,           0.0082576,           0.0082576,           0.0082576
                  90,            0.035036,            0.016437,             0.00225,             0.93501,              0.9067,             0.94366,             0.61526,            0.037957,           0.0062126,           0.0018492,           0.0082378,           0.0082378,           0.0082378
                  91,             0.03412,            0.016246,           0.0018661,             0.93928,             0.90391,             0.94598,             0.63114,             0.03671,           0.0059505,           0.0017665,            0.008218,            0.008218,            0.008218
                  92,            0.032381,            0.014359,           0.0020166,             0.91757,             0.91768,             0.94831,             0.62674,            0.031572,            0.005985,           0.0018359,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03351,            0.016072,           0.0019972,             0.91769,             0.90598,             0.95088,             0.59715,            0.031671,           0.0064105,           0.0020324,           0.0081784,           0.0081784,           0.0081784
                  94,            0.032788,             0.01415,           0.0019666,             0.95395,             0.92035,             0.95156,              0.6277,            0.031434,           0.0062063,           0.0021555,           0.0081586,           0.0081586,           0.0081586
                  95,            0.031709,            0.013517,           0.0024492,             0.97276,             0.91107,             0.95944,             0.64211,            0.030824,           0.0064298,           0.0020357,           0.0081388,           0.0081388,           0.0081388
                  96,            0.034414,            0.019286,           0.0018587,             0.96103,             0.90576,             0.96146,             0.65581,            0.029464,           0.0063637,           0.0018681,            0.008119,            0.008119,            0.008119
                  97,            0.033481,            0.014259,           0.0017571,             0.96025,             0.91228,             0.95991,             0.56669,            0.035537,           0.0066544,           0.0018122,           0.0080992,           0.0080992,           0.0080992
                  98,            0.033899,            0.015013,           0.0018132,              0.8626,             0.89285,               0.937,             0.57237,            0.033854,           0.0067887,            0.001665,           0.0080794,           0.0080794,           0.0080794
                  99,            0.030536,            0.014064,           0.0017133,             0.91415,             0.92119,             0.96598,             0.60115,            0.039832,           0.0066727,           0.0015467,           0.0080596,           0.0080596,           0.0080596
                 100,            0.034261,            0.013435,           0.0036706,             0.98186,             0.87444,             0.96939,             0.62437,            0.034988,           0.0063062,           0.0015261,           0.0080398,           0.0080398,           0.0080398
                 101,            0.035201,            0.012738,           0.0028674,             0.97004,             0.90598,             0.97267,             0.65709,            0.037907,           0.0061374,           0.0015266,             0.00802,             0.00802,             0.00802
